119030418: União das freguesias de Alvite e Passos;100;49;58;54;19;2058;6039;25;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;54;57;138;6;5;1089;226;1;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;405;28;667;982;11;940;254;27;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;318;175;347;213;46;62544;1059;8;
1190307: Fafe;2582;677;3531;764;117;19761;48270;932;
119030705: Armil;42;6;1;17;5;379;38310;56;
119030726: Arões (Santa Cristina);44;5;46;6;1;421;357;6;
119030730: Arões (São Romão);48;8;15;19;- -;401;173;- -;
119030708: Estorãos;51;3;101;27;1;857;475;- -;
119030709: Fafe;75;9;180;14;1;605;251;- -;
119030712: Fornelos;40;9;104;9;- -;388;164;2;
119030714: Golães;55;11;182;74;10;1361;480;4;
119030716: Medelo;44;- -;24;- -;- -;109;31;- -;
119030719: Paços;58;11;66;46;4;601;113;11;
119030722: Quinchães;136;22;84;11;8;966;162;- -;
119030723: Regadas;128;87;28;6;11;581;2502;183;
119030724: Revelhe;57;10;137;18;- -;931;375;8;
119030725: Ribeiros;95;153;82;31;1;289;49;- -;
119030728: São Gens;308;19;111;20;8;1309;509;20;
119030729: Silvares (São Martinho);22;37;21;5;5;422;88;4;
119030733: Travassós;65;6;69;30;3;943;230;10;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;256;31;257;242;9;1422;368;95;
119030738: União de freguesias de Agrela e Serafão;32;15;229;14;1;924;314;44;
119030739: União de freguesias de Antime e Silvares (São Clemente);56;11;28;8;2;602;202;100;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;314;40;199;11;12;845;347;4;
119030741: União de freguesias de Cepães e Fareja;173;15;95;- -;10;977;156;208;
119030742: União de freguesias de Freitas e Vila Cova;25;9;210;46;3;772;214;22;
119030743: União de freguesias de Monte e Queimadela;304;52;563;36;8;1706;402;4;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;124;37;685;69;7;1548;1812;- -;
119030736: Vinhós;30;71;14;5;7;402;186;151;
1190308: Guimarães;5758;747;1048;367;262;354312;10920;173;
119030801: Aldão;41;3;- -;5;2;349;30;4;
119030804: Azurém;109;17;- -;- -;2;379;34;5;
119030806: Barco;39;110;44;1;- -;110294;66;- -;
119030807: Brito;240;7;- -;- -;4;443;225;1;
119030808: Caldelas;257;13;- -;1;14;422;150;2;
119030857: Candoso (São Martinho);126;6;3;3;5;231;14;- -;
119030812: Costa;18;13;- -;- -;1;422;170;- -;
119030813: Creixomil;61;9;- -;- -;17;255;97;- -;
119030815: Fermentões;92;34;4;- -;24;854;198;11;
119030820: Gonça;24;4;7;2;4;480;155;8;
119030821: Gondar;74;8;23;- -;- -;201;18;- -;
119030823: Guardizela;287;11;1;- -;12;462;140;- -;
119030824: Infantas;106;8;6;6;- -;852;298;4;
119030827: Longos;224;16;37;3;3;571;344;6;
119030828: Lordelo;83;6;9;2;1;196;128;- -;
119030830: Mesão Frio;114;5;51;12;- -;535;58;3;
119030831: Moreira de Cónegos;11;3;- -;- -;- -;177;16;- -;
119030832: Nespereira;3;- -;- -;4;- -;183;48;- -;
119030835: Pencelo;31;12;12;5;3;309;41;- -;
119030836: Pinheiro;61;5;- -;- -;- -;25345;3238;- -;
119030837: Polvoreira;38;10;8;10;2;261;48;4;
119030838: Ponte;73;15;11;11;21;150962;180;1;
119030842: Prazins (Santa Eufémia);78;3;- -;- -;2;2278;94;- -;
119030840: Ronfe;296;20;8;11;- -;739;164;- -;
119030858: Sande (São Martinho);29;6;- -;9;11;705;313;1;
119030865: São Torcato;218;37;- -;- -;13;1424;318;6;
119030850: Selho (São Cristóvão);54;2;2;- -;1;68;18;- -;
119030854: Selho (São Jorge);125;12;11;1;1;496;100;4;
119030866: Serzedelo;17;5;2;- -;5;505;78;- -;
119030868: Silvares;78;9;19;7;2;708;211;- -;
119030875: União das freguesias de Abação e Gémeos;27;4;69;80;3;604;81;3;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;127;42;83;50;3;825;242;7;
119030877: União das freguesias de Arosa e Castelões;35;7;46;1;11;428;79;6;
119030878: União das freguesias de Atães e Rendufe;156;27;216;11;4;2147;875;8;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;90;5;28;39;- -;339;34;1;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;125;22;27;12;14;840;153;12;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;178;20;26;- -;8;709;426;- -;
119030882: União das freguesias de Conde e Gandarela;41;10;16;20;22;391;259;- -;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;245;58;10;30;7;846;222;- -;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;- -;- -;- -;- -;20;17;- -;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;341;12;83;2;3;611;102;13;
119030886: União das freguesias de Sande São Lourenço e Balazar;405;11;- -;- -;1;40752;237;13;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;140;50;75;9;4;1147;380;7;
119030888: União das freguesias de Selho São Lourenço e Gominhães;65;18;1;8;8;740;76;12;
119030889: União das freguesias de Serzedo e Calvos;103;3;- -;- -;5;379;60;- -;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;583;24;109;8;12;905;297;26;
119030891: União das freguesias de Tabuadelo e São Faustino;57;6;- -;- -;1;789;235;- -;
119030871: Urgezes;33;19;1;4;6;734;153;5;
1191705: Mondim de Basto;1491;345;474;4243;98;9165;2796;652;
119170501: Atei;377;41;124;356;25;1623;574;20;
119170502: Bilhó;545;51;100;698;6;1255;697;273;
119170505: São Cristóvão de Mondim de Basto;54;76;47;108;18;2561;416;42;
119170509: União das freguesias de Campanhó e Paradança;52;27;117;615;14;963;251;28;
119170510: União das freguesias de Ermelo e Pardelhas;265;44;46;2333;22;1305;212;185;
119170508: Vilar de Ferreiros;198;106;40;133;13;1458;646;104;
1190309: Póvoa de Lanhoso;2121;1121;1793;766;104;26826;5629;250;
119030906: Covelas;61;11;41;- -;31;543;78;3;
119030908: Ferreiros;161;18;53;- -;- -;663;139;- -;
119030912: Galegos;6;4;- -;- -;- -;163;57;- -;
119030913: Garfe;24;8;41;29;1;721;227;7;
119030914: Geraz do Minho;29;34;75;- -;1;6629;152;- -;
119030915: Lanhoso;43;4;61;27;- -;2184;69;- -;
119030917: Monsul;139;12;32;6;2;716;146;- -;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);50;9;113;110;- -;291;102;- -;
119030921: Rendufinho;34;17;75;101;1;351;95;4;
119030922: Santo Emilião;425;767;6;- -;- -;153;42;- -;
119030923: São João de Rei;138;29;51;166;6;712;184;4;
119030924: Serzedelo;123;12;194;10;1;504;2205;148;
119030925: Sobradelo da Goma;77;13;207;6;1;6644;306;2;
119030926: Taíde;48;18;72;- -;4;235;59;1;
119030927: Travassos;129;14;102;136;3;564;243;13;
119030930: União das freguesias de Águas Santas e Moure;43;9;34;2;1;629;145;1;
119030931: União das freguesias de Calvos e Frades;110;29;125;25;14;552;192;22;
119030932: União das freguesias de Campos e Louredo;161;8;25;- -;2;726;115;3;
119030933: União das freguesias de Esperança e Brunhais;34;5;135;75;4;480;172;2;
119030934: União das freguesias de Fonte Arcada e Oliveira;115;57;184;20;5;1643;547;3;
119030935: União das freguesias de Verim, Friande e Ajude;161;20;121;40;25;1207;217;37;
119030929: Vilela;10;23;46;13;2;516;137;- -;
1190311: Vieira do Minho;2707;515;3460;1024;705;11580;4437;506;
119031105: Cantelães;125;35;124;31;178;873;341;66;
119031107: Eira Vedra;87;18;145;8;28;556;267;16;
119031108: Guilhofrei;105;53;217;72;90;1308;433;4;
119031109: Louredo;56;20;54;20;3;317;109;8;
119031110: Mosteiro;89;41;259;- -;8;494;200;2;
119031111: Parada de Bouro;44;21;27;6;9;457;183;7;
119031112: Pinheiro;95;15;326;81;10;767;279;14;
119031113: Rossas;395;85;997;366;49;1916;578;121;
119031115: Salamonde;34;11;91;- -;17;413;285;5;
119031118: Tabuaças;179;16;196;78;60;509;175;8;
119031122: União das freguesias de Anissó e Soutelo;127;8;251;92;13;313;127;3;
119031123: União das freguesias de Anjos e Vilar do Chão;516;67;172;38;24;1066;464;38;
119031124: União das freguesias de Caniçada e Soengas;27;34;87;19;5;320;221;6;
119031125: União das freguesias de Ruivães e Campos;713;48;152;121;179;1249;285;162;
119031126: União das freguesias de Ventosa e Cova;48;17;76;18;18;445;183;42;
119031120: Vieira do Minho;67;26;286;74;14;577;307;4;
1190312: Vila Nova de Famalicão;18017;10962;880;472;166;47137;9180;162;
119031204: Bairro;85;7;71;30;6;555;123;- -;
119031206: Brufe;147;2;56;5;1;511;101;23;
119031210: Castelões;354;11;11;10;- -;589;288;- -;
119031212: Cruz;518;12;4;162;4;630;184;22;
119031213: Delães;41;1;2;6;2;225;88;- -;
119031215: Fradelos;4114;7981;26;11;14;1763;826;24;
119031216: Gavião;179;5;6;3;2;517;167;4;
119031219: Joane;165;8;18;1;2;979;165;5;
119031221: Landim;554;8;63;30;6;558;114;- -;
119031223: Louro;1088;14;- -;1;1;861;200;- -;
119031224: Lousado;69;- -;27;2;- -;340;15;- -;
119031225: Mogege;61;6;- -;1;- -;194;80;- -;
119031227: Nine;553;28;66;14;10;1388;413;7;
119031239: Oliveira (Santa Maria);88;6;10;- -;- -;681;161;- -;
119031242: Oliveira (São Mateus);12;- -;4;- -;1;87;2;- -;
119031230: Pedome;40;12;31;24;32;343;27;2;
119031232: Pousada de Saramagos;- -;- -;- -;- -;- -;70;9;- -;
119031233: Requião;146;13;13;- -;11;748;103;- -;
119031234: Riba de Ave;3;- -;- -;- -;- -;108;11;- -;
119031235: Ribeirão;737;- -;3;- -;1;325;14;- -;
119031250: União das freguesias de Antas e Abade de Vermoim;544;25;23;1;- -;694;157;- -;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;556;20;57;25;15;1709;723;14;
119031252: União das freguesias de Avidos e Lagoa;353;11;34;4;18;621;169;- -;
119031253: União das freguesias de Carreira e Bente;42;14;3;17;4;397;160;2;
119031254: União das freguesias de Esmeriz e Cabeçudos;479;4;- -;4;6;546;277;- -;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;2711;17;61;9;2;8096;691;1;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;1323;32;92;10;7;1045;378;28;
119031257: União das freguesias de Ruivães e Novais;397;6;17;11;1;324;147;- -;
119031258: União das freguesias de Seide;88;7;- -;- -;1;462;122;- -;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;626;22;117;7;3;2650;1082;5;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;111;13;19;10;9;590;184;4;
119031241: Vale (São Martinho);379;23;16;9;3;17139;1244;15;
119031247: Vermoim;157;4;1;- -;3;438;181;2;
119031249: Vilarinho das Cambas;1297;2650;29;65;1;954;574;4;
1190314: Vizela;332;46;91;13;12;3196;668;11;
119031404: Infias;18;- -;- -;- -;- -;248;51;- -;
119031401: Santa Eulália;91;16;67;2;3;936;264;11;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);88;4;- -;5;5;430;117;- -;
119031409: União das freguesias de Tagilde e Vizela (São Paio);121;19;24;4;3;1024;107;- -;
119031406: Vizela (Santo Adrião);14;7;- -;2;1;558;129;- -;
11A: Área Metropolitana do Porto;101106;13281;15269;7012;738;830823;102454;1732;
11A0104: Arouca;5667;861;3234;2530;75;46492;3778;519;
11A010402: Alvarenga;497;61;203;157;7;1037;236;19;
11A010407: Chave;641;48;200;27;2;774;255;19;
11A010409: Escariz;1043;19;140;29;5;35133;280;39;
11A010411: Fermedo;403;28;182;21;- -;759;165;16;
11A010413: Mansores;616;37;52;16;- -;798;355;54;
11A010414: Moldes;307;211;66;212;1;1361;475;103;
11A010415: Rossas;244;53;52;75;2;852;150;7;
11A010416: Santa Eulália;303;85;110;139;2;974;316;43;
11A010417: São Miguel do Mato;130;30;243;27;4;1003;271;34;
11A010418: Tropeço;252;40;591;191;1;84;130;1;
11A010421: União das freguesias de Arouca e Burgo;423;156;167;146;37;2242;649;64;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;259;5;250;647;- -;186;41;- -;
11A010423: União das freguesias de Canelas e Espiunca;104;48;295;168;- -;786;327;60;
11A010424: União das freguesias de Covelo de Paivó e Janarde;126;18;328;450;3;259;40;52;
11A010419: Urrô;151;13;284;204;11;101;22;8;
11A010420: Várzea;168;9;71;21;- -;143;66;- -;
11A0107: Espinho;314;12;22;17;1;332;160;- -;
11A010702: Espinho;- -;- -;- -;- -;- -;- -;- -;- -;
11A010704: Paramos;297;2;- -;- -;- -;98;30;- -;
11A010705: Silvalde;10;8;8;2;- -;144;99;- -;
11A010706: União das freguesias de Anta e Guetim;7;2;14;15;1;90;31;- -;
11A1304: Gondomar;1107;106;1402;78;18;8061;2881;13;
11A130412: Baguim do Monte (Rio Tinto);57;- -;25;- -;1;328;131;- -;
11A130405: Lomba;10;6;115;3;- -;470;142;- -;
11A130408: Rio Tinto;619;1;88;17;- -;756;209;2;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;145;1;202;7;6;1252;640;8;
11A130414: União das freguesias de Foz do Sousa e Covelo;68;17;390;24;5;1498;409;- -;
11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;189;60;175;16;5;2354;877;3;
11A130416: União das freguesias de Melres e Medas;19;21;407;11;1;1403;473;- -;
11A1306: Maia;6316;94;593;60;39;46178;2012;32;
11A130601: Águas Santas;416;5;114;3;1;1016;430;- -;
11A130618: Castêlo da Maia;2610;31;22;13;2;1357;481;26;
11A130619: Cidade da Maia;86;7;34;7;1;806;123;- -;
11A130603: Folgosa;621;9;154;- -;9;40126;102;6;
11A130608: Milheirós;97;8;97;- -;3;379;110;- -;
11A130609: Moreira;949;5;8;7;3;420;115;- -;
11A130620: Nogueira e Silva Escura;710;7;56;2;4;556;111;- -;
11A130617: Pedrouços;7;- -;22;- -;3;222;92;- -;
11A130613: São Pedro Fins;392;17;76;16;13;843;268;- -;
11A130616: Vila Nova da Telha;428;5;10;12;- -;453;180;- -;
11A1308: Matosinhos;4751;98;393;75;34;4798;1364;2;
11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;1341;58;274;35;6;1964;666;2;
11A130812: União das freguesias de Matosinhos e Leça da Palmeira;57;- -;7;8;3;342;46;- -;
11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;3160;38;82;32;23;1673;477;- -;
11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;193;2;30;- -;2;819;175;- -;
11A0113: Oliveira de Azeméis;7077;3522;597;761;32;103846;2735;23;
11A011301: Carregosa;253;17;50;38;2;212;162;6;
11A011302: Cesar;35;5;6;- -;2;96;59;- -;
11A011303: Fajões;341;16;138;9;1;60739;118;- -;
11A011304: Loureiro;2646;35;52;451;1;26582;103;2;
11A011305: Macieira de Sarnes;37;25;- -;- -;- -;295;32;14;
11A011310: Ossela;143;35;19;11;1;616;371;- -;
11A011315: São Martinho da Gândara;2112;61;- -;19;3;573;352;- -;
11A011318: São Roque;187;7;7;- -;- -;231;64;- -;
11A011320: União das freguesias de Nogueira do Cravo e Pindelo;40;15;127;30;6;528;179;- -;
11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;607;3190;43;28;14;12498;264;- -;
11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;194;71;71;135;1;753;661;- -;
11A011319: Vila de Cucujães;482;45;84;40;1;723;370;1;
11A1310: Paredes;2400;544;1876;292;69;12837;5225;89;
11A131001: Aguiar de Sousa;31;16;80;32;- -;364;508;- -;
11A131002: Astromil;80;- -;30;- -;1;272;206;- -;
11A131003: Baltar;151;32;75;12;5;699;217;- -;
11A131004: Beire;482;75;26;- -;1;830;215;1;
11A131008: Cete;66;27;72;20;2;555;112;- -;
11A131009: Cristelo;5;2;38;3;- -;150;89;- -;
11A131010: Duas Igrejas;75;15;37;- -;4;291;139;- -;
11A131011: Gandra;83;29;132;8;5;720;368;10;
11A131013: Lordelo;36;11;205;4;2;414;127;- -;
11A131014: Louredo;52;13;9;10;13;231;4;- -;
11A131017: Parada de Todeia;1;2;48;- -;2;152;63;- -;
11A131025: Paredes;869;166;280;56;12;4499;1638;32;
11A131018: Rebordosa;109;43;224;5;7;610;300;2;
11A131019: Recarei;31;31;142;90;6;1057;293;38;
11A131020: Sobreira;58;33;165;40;- -;833;694;1;
11A131021: Sobrosa;98;19;123;10;5;365;42;- -;
11A131022: Vandoma;84;23;41;- -;3;314;103;- -;
11A131024: Vilela;89;7;149;2;1;481;107;5;
11A1312: Porto;50;2;29;20;1;417;30;1;
11A131202: Bonfim;- -;- -;- -;- -;- -;- -;- -;- -;
11A131203: Campanhã;- -;2;17;20;- -;151;20;- -;
11A131210: Paranhos;4;- -;- -;- -;- -;201;7;1;
11A131211: Ramalde;43;- -;9;- -;- -;55;- -;- -;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;- -;- -;- -;- -;- -;- -;- -;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;- -;- -;- -;- -;- -;- -;- -;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;3;- -;3;- -;1;10;3;- -;
11A1313: Póvoa de Varzim;18188;3380;209;601;78;30886;4712;6;
11A131305: Balazar;5618;42;14;198;38;18976;458;- -;
11A131307: Estela;1104;21;5;17;7;2900;1286;- -;
11A131308: Laundos;1778;3235;19;289;1;793;164;1;
11A131311: Rates;6190;39;- -;15;- -;1632;341;- -;
11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;1461;7;140;28;- -;1001;268;- -;
11A131314: União das freguesias de Aguçadoura e Navais;138;8;2;8;2;2660;1022;5;
11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;1899;28;29;46;30;2924;1173;- -;
11A0109: Santa Maria da Feira;2460;2545;1356;153;64;9017;3122;170;
11A010901: Argoncilhe;24;17;273;- -;10;460;365;- -;
11A010902: Arrifana;91;16;- -;6;- -;297;69;- -;
11A010904: Escapães;8;3;24;1;- -;316;7;7;
11A010907: Fiães;28;4;12;1;2;67;18;62;
11A010908: Fornos;40;2;- -;- -;- -;94;10;- -;
11A010913: Lourosa;52;4;- -;- -;- -;37;10;- -;
11A010914: Milheirós de Poiares;23;6;118;3;8;265;102;- -;
11A010916: Mozelos;19;2241;- -;- -;1;33;16;- -;
11A010917: Nogueira da Regedoura;4;2;8;- -;- -;20;14;- -;
11A010919: Paços de Brandão;6;- -;- -;- -;- -;33;10;- -;
11A010921: Rio Meão;10;7;- -;6;- -;166;28;- -;
11A010922: Romariz;288;56;49;30;5;1125;249;1;
11A010924: Sanguedo;14;2;- -;- -;- -;154;146;- -;
11A010925: Santa Maria de Lamas;12;2;- -;- -;- -;6;- -;- -;
11A010926: São João de Ver;17;6;77;4;8;171;37;- -;
11A010918: São Paio de Oleiros;- -;- -;8;- -;1;75;- -;- -;
11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;93;14;90;20;1;551;116;9;
11A010933: União das freguesias de Canedo, Vale e Vila Maior;725;78;462;16;4;2002;711;35;
11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;460;40;146;21;3;1406;397;31;
11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;268;32;33;17;5;1098;432;24;
11A010936: União de freguesias de São Miguel de Souto e Mosteirô;278;13;56;28;16;641;385;1;
11A1314: Santo Tirso;3565;1018;1725;316;58;20999;3271;85;
11A131401: Agrela;204;3;116;14;2;8239;102;- -;
11A131402: Água Longa;464;13;71;3;5;471;111;- -;
11A131405: Aves;22;5;11;2;1;2149;51;1;
11A131413: Monte Córdova;304;17;253;7;6;819;133;12;
11A131430: Negrelos (São Tomé);47;12;51;- -;2;249;77;12;
11A131416: Rebordões;116;1;8;- -;13;263;74;- -;
11A131418: Reguenga;526;28;12;9;- -;481;135;- -;
11A131419: Roriz;106;738;264;3;- -;954;271;20;
11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;253;41;172;113;11;1410;508;10;
11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);48;20;455;74;3;848;403;1;
11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;427;43;84;17;- -;1176;285;11;
11A131436: União das freguesias de Lamelas e Guimarei;302;21;39;27;- -;1003;258;- -;
11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;664;72;125;45;13;2716;801;18;
11A131432: Vilarinho;82;4;64;2;2;221;62;- -;
11A0116: São João da Madeira;44;16;- -;5;- -;182;104;- -;
11A011601: São João da Madeira;44;16;- -;5;- -;182;104;- -;
11A1318: Trofa;6799;182;439;114;31;337410;2466;34;
11A131806: Covelas;1151;40;82;29;4;16106;163;2;
11A131808: Muro;242;4;24;- -;1;573;112;- -;
11A131809: União das freguesias de Alvarelhos e Guidões;807;20;140;32;3;1262;445;2;
11A131810: União das freguesias de Bougado (São Martinho e Santiago);3097;85;161;51;3;3435;1500;18;
11A131811: União das freguesias de Coronado (São Romão e São Mamede);1502;33;32;2;20;316034;246;12;
11A0119: Vale de Cambra;1374;442;1259;1588;15;110341;2678;528;
